year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
04,3,37.0,38.0,41.0,41.0,-4.0,-3.0
04,4,37.0,38.0,41.0,41.0,-4.0,-3.0
04,5,34.0,34.0,41.0,41.0,-7.0,-7.0
04,6,36.0,34.0,41.0,41.0,-5.0,-7.0
04,7,36.0,34.0,41.0,41.0,-5.0,-7.0
04,8,36.0,33.0,41.0,41.0,-5.0,-8.0
04,9,35.0,35.0,41.0,41.0,-6.0,-6.0
04,10,37.0,37.0,41.0,41.0,-4.0,-4.0
04,11,41.0,40.0,41.0,41.0,0.0,-1.0
04,12,35.0,33.0,41.0,41.0,-6.0,-8.0
04,13,36.0,34.0,41.0,41.0,-5.0,-7.0
04,14,39.0,36.0,41.0,41.0,-2.0,-5.0
04,15,36.0,35.0,41.0,41.0,-5.0,-6.0
04,16,37.0,36.0,41.0,41.0,-4.0,-5.0
04,17,37.0,36.0,41.0,41.0,-4.0,-5.0
04,18,37.0,35.0,41.0,41.0,-4.0,-6.0
04,19,36.0,36.0,41.0,41.0,-5.0,-5.0
04,20,36.0,35.0,41.0,41.0,-5.0,-6.0
04,21,36.0,34.0,41.0,41.0,-5.0,-7.0
04,22,34.0,35.0,41.0,41.0,-7.0,-6.0
04,23,35.0,35.0,41.0,41.0,-6.0,-6.0
04,24,35.0,34.0,41.0,41.0,-6.0,-7.0
04,25,36.0,35.0,41.0,41.0,-5.0,-6.0
04,26,36.0,35.0,41.0,41.0,-5.0,-6.0
